ID,UNIDADE,CONVENIADA,MUNICIPIO,PROGRAMA,AÇÃO,OBJETO,NUMERO,INI,FIM,VL.CONVENIO,VL.CONTRAPARTE;
1,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE ALTA FLORESTA,ALTA FLORESTA,Aquisição de esteira para bagagem e espelho de raio-x para o Aeroporto Municipal de Alta Floresta-MT.,388,1292,1053-2016,30/06/2016,30/06/2017,200000,2950;
2,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE ARAPUTANGA,ARAPUTANGA,Reforma de diversas pontes de madeira localizadas no Município de Araputanga.,338,2128,0141-2016,13/06/2016,10/12/2016,180000,8586;
3,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE ARENÁPOLIS,ARENÁPOLIS,Aterro e Pavimentação das cabeceiras da ponte sobre o rio Areia na Rodovia Estadual Mt-242 no Município de Arenápolis-MT.,338,2151,0944-2016,30/06/2016,28/09/2017,167352,0;
4,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE ARIPUANÃ,ARIPUANÃ,Reconstrução de ponte em madeira sobre o Rio Cmte. Amauri Furquim na MT 183,338,1284,006/2015,23/12/2015,20/06/2016,200000,141412;
5,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE DIAMANTINO,DIAMANTINO,Manutenção de Rodovia pavimentada MT-010 na região de Diamantino trecho: Km 0 ao Km 23 numa extensão de 23 Km.,338,2209,003/2015,21/07/2015,20/07/2016,150000,1000;
6,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE JANGADA,JANGADA,Recuperação de Estrada Vicinal com extensão de 40091 km no Município de Jangada - MT.,338,2151,012/2015,30/12/2015,29/12/2016,119999,0;
7,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE JAURU,JAURU,Recuperação de estradas vicinais municipais em Jauru/MT,338,2151,011/2015,30/12/2015,29/12/2016,45000,764;
8,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE LAMBARI DOESTE,LAMBARI DOESTE,Reforma de pontes de madeira e construção de bueiro localizados no Município de Lambari D'Oeste. Ponte sobre o rio branco extensão 64m localizada na MT - 339 trecho entre MT - 170 e MT - 248. Ponte sobre o Córrego Jacú Queimado extensão 16 m.,338,2128,0537-2016,17/06/2016,14/12/2016,393553,8031;
9,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE NOBRES,NOBRES,Aquisição de Óleo Diesel para Revitalização da Estrada Vicinal Pantanalzinho e Estrada Fazenda Essência,338,2151,013/2015,30/12/2015,29/12/2016,50000,0;
10,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE NOVO MUNDO,NOVO MUNDO,Reforma de Ponte de Madeira Tipo I- Vigamento Simples com Fundação em Estacas (Padrão SINFRA-MT) sobre o rio Braço Norte e Vazante do Rio Braço Norte Rod. MT 419 Trecho Entrº. BR-163 Guarantã do Norte- Novo Mundo Extensão 8000 m e 2400 m respectivamente na região de NOVO MUNDO  MT.,338,1284,004/2015,24/07/2015,26/01/2017,524113,5000;
11,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE NOVO MUNDO,NOVO MUNDO,RECUPERAÇÃO DA AV. AYRTON SENNA COM APLICAÇÃO DE LAMA ASFÁLTICA,338,2209,008/2015,30/12/2015,29/12/2016,100000,8741;
12,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE NOVO MUNDO,NOVO MUNDO,Manutenção de 12680km de estradas não pavimentadas sendo: 4730km trecho MT-419/Balsa Rio Teles Pires e 7950km trecho MT-419/Gleba Rochedo no município de Novo Mundo/MT.,338,2151,010/2015,30/12/2015,26/08/2017,200000,5000;
13,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE NOVO SÃO JOAQUIM,NOVO SÃO JOAQUIM,Reforma de pontes de madeira no Rio das Mortes no Município de Novo São Joaquim/Divisa com General Carneiro (Ponte do Jacaré e Ponte do Japonês).,338,2128,0943-2016,22/06/2016,22/06/2017,800000,224582;
14,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE PARANAÍTA,PARANAITA,Recuperação de 222 KM de estrada não pavimentada na MT 206 no Município de Paranaita MT.,338,2151,0534-2016,25/05/2016,25/05/2017,469087,15000;
15,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE PARANAÍTA,PARANAITA,Recuperação de de 2165 Km de estradas vicinais nao pavimentadas Rodovia MT 416.,338,2151,009/2015,30/12/2015,26/08/2017,100000,1340;
16,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE PORTO ESPERIDIÃO,PORTO ESPERIDIÃO,Construção e Recuperação de diversas pontes de madeira localizadas no município de Porto Esperidião - MT,338,1284,0062-2016,11/03/2016,07/09/2016,700000,3000;
17,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA E LOGÍSTICA-SINFRA,PREFEITURA MUNICIPAL DE PORTO ESPERIDIÃO,PORTO ESPERIDIÃO,RESTAURAÇÃO DE 10 (DEZ) PONTES DE MADEIRA TIPO I  VIGAMENTO SIMPLES COM FUNDAÇÃO EM ESTACAS (PADRÃO SINFRA MT) NA MT 265 NO MUNICÍPIO DE PORTO ESPERIDIÃO -MT,338,1284,005/2015,13/11/2015,12/11/2016,200000,91187;
